Region,Counter-Strike: Global Offensive: (1/1/04 - 1/10/22)
Hawaii,100
California,95
Nevada,91
New Jersey,86
Rhode Island,84
Washington,82
New Hampshire,82
Maine,81
Connecticut,81
Alaska,79
Maryland,73
Vermont,73
Kansas,73
Iowa,73
Michigan,72
Oregon,72
Massachusetts,72
Arizona,72
North Dakota,71
Pennsylvania,71
Wisconsin,70
Indiana,70
Delaware,70
Ohio,68
Minnesota,68
Illinois,68
New York,66
West Virginia,66
Florida,66
Idaho,65
Virginia,63
Nebraska,61
Oklahoma,60
Colorado,59
Texas,59
Kentucky,59
Utah,59
North Carolina,58
Wyoming,58
South Dakota,58
Louisiana,57
Missouri,57
Montana,56
Alabama,54
South Carolina,53
Arkansas,53
Tennessee,52
Georgia,48
New Mexico,48
Mississippi,40
District of Columbia,26
