Region,Dota 2: (1/1/04 - 1/10/22)
Washington,100
Alaska,93
Utah,79
California,79
Vermont,76
Oregon,71
Hawaii,70
Maryland,69
North Dakota,65
Nevada,65
Idaho,64
New Hampshire,64
Massachusetts,62
Wisconsin,61
Minnesota,59
Connecticut,59
Arizona,59
New Jersey,59
New York,59
Iowa,58
Kansas,58
Virginia,58
Indiana,57
Michigan,56
Rhode Island,55
Pennsylvania,55
Delaware,55
Maine,54
Colorado,54
Illinois,54
South Dakota,52
Oklahoma,51
West Virginia,50
Florida,49
Montana,49
Ohio,48
Nebraska,47
Texas,46
Arkansas,45
Missouri,45
North Carolina,45
New Mexico,45
Kentucky,43
Louisiana,43
Alabama,40
Wyoming,39
Tennessee,38
Georgia,38
South Carolina,35
Mississippi,33
District of Columbia,32
