Region,Two World II: (1/8/21 - 1/8/22)
Oklahoma,100
Georgia,48
California,44
Michigan,41
Texas,40
Florida,36
Ohio,32
Pennsylvania,27
New York,18
Louisiana,
New Hampshire,
Idaho,
Kansas,
Connecticut,
West Virginia,
South Dakota,
Maryland,
Alabama,
Indiana,
South Carolina,
Tennessee,
Colorado,
Iowa,
North Carolina,
Oregon,
Nevada,
Mississippi,
Massachusetts,
Virginia,
Arkansas,
Maine,
Hawaii,
Minnesota,
Arizona,
New Jersey,
New Mexico,
Nebraska,
Kentucky,
Illinois,
Washington,
Wisconsin,
Utah,
Missouri,
Alaska,
District of Columbia,
Delaware,
Montana,
North Dakota,
Rhode Island,
Vermont,
Wyoming,
