Region,Vampire: (1/8/21 - 1/8/22)
Alaska,100
West Virginia,100
Kentucky,99
Louisiana,89
Utah,89
Oregon,86
Oklahoma,85
Indiana,84
Arkansas,84
Alabama,84
Tennessee,82
Missouri,81
Idaho,79
Wyoming,79
Maine,79
New Mexico,79
Arizona,78
Kansas,76
Washington,76
Mississippi,76
Ohio,76
New Hampshire,75
Georgia,75
Texas,74
Nevada,73
North Carolina,73
Rhode Island,73
Michigan,72
North Dakota,72
California,72
South Carolina,71
Virginia,71
South Dakota,71
Connecticut,71
Vermont,71
Pennsylvania,70
Illinois,70
Wisconsin,70
Delaware,70
Colorado,69
Minnesota,67
Florida,67
Maryland,67
Iowa,66
Nebraska,64
New Jersey,64
Massachusetts,64
Montana,64
Hawaii,63
New York,59
District of Columbia,54
