Month,Rust: (United States)
2004-01,23
2004-02,14
2004-03,19
2004-04,27
2004-05,23
2004-06,24
2004-07,25
2004-08,19
2004-09,26
2004-10,24
2004-11,20
2004-12,23
2005-01,20
2005-02,21
2005-03,20
2005-04,24
2005-05,22
2005-06,24
2005-07,21
2005-08,20
2005-09,22
2005-10,24
2005-11,19
2005-12,17
2006-01,18
2006-02,20
2006-03,19
2006-04,22
2006-05,18
2006-06,21
2006-07,23
2006-08,19
2006-09,22
2006-10,18
2006-11,18
2006-12,18
2007-01,14
2007-02,18
2007-03,15
2007-04,16
2007-05,20
2007-06,21
2007-07,22
2007-08,20
2007-09,21
2007-10,19
2007-11,18
2007-12,15
2008-01,15
2008-02,16
2008-03,21
2008-04,18
2008-05,22
2008-06,24
2008-07,21
2008-08,23
2008-09,23
2008-10,18
2008-11,19
2008-12,15
2009-01,18
2009-02,18
2009-03,20
2009-04,23
2009-05,23
2009-06,21
2009-07,24
2009-08,25
2009-09,23
2009-10,22
2009-11,21
2009-12,19
2010-01,19
2010-02,19
2010-03,21
2010-04,24
2010-05,22
2010-06,23
2010-07,21
2010-08,23
2010-09,21
2010-10,20
2010-11,18
2010-12,17
2011-01,19
2011-02,20
2011-03,21
2011-04,24
2011-05,24
2011-06,25
2011-07,23
2011-08,23
2011-09,24
2011-10,21
2011-11,21
2011-12,18
2012-01,21
2012-02,20
2012-03,24
2012-04,24
2012-05,24
2012-06,25
2012-07,25
2012-08,26
2012-09,27
2012-10,25
2012-11,22
2012-12,22
2013-01,25
2013-02,22
2013-03,28
2013-04,34
2013-05,30
2013-06,33
2013-07,35
2013-08,31
2013-09,29
2013-10,26
2013-11,26
2013-12,36
2014-01,59
2014-02,58
2014-03,47
2014-04,45
2014-05,41
2014-06,39
2014-07,41
2014-08,37
2014-09,33
2014-10,32
2014-11,29
2014-12,29
2015-01,30
2015-02,29
2015-03,31
2015-04,37
2015-05,42
2015-06,43
2015-07,43
2015-08,40
2015-09,38
2015-10,36
2015-11,34
2015-12,34
2016-01,39
2016-02,42
2016-03,46
2016-04,46
2016-05,48
2016-06,46
2016-07,45
2016-08,43
2016-09,42
2016-10,39
2016-11,39
2016-12,39
2017-01,42
2017-02,44
2017-03,45
2017-04,44
2017-05,46
2017-06,46
2017-07,47
2017-08,44
2017-09,39
2017-10,41
2017-11,39
2017-12,37
2018-01,39
2018-02,40
2018-03,43
2018-04,46
2018-05,44
2018-06,48
2018-07,48
2018-08,45
2018-09,46
2018-10,46
2018-11,44
2018-12,43
2019-01,45
2019-02,45
2019-03,46
2019-04,48
2019-05,50
2019-06,55
2019-07,56
2019-08,55
2019-09,53
2019-10,47
2019-11,46
2019-12,47
2020-01,48
2020-02,50
2020-03,50
2020-04,61
2020-05,73
2020-06,67
2020-07,64
2020-08,65
2020-09,63
2020-10,57
2020-11,53
2020-12,64
2021-01,100
2021-02,71
2021-03,67
2021-04,74
2021-05,91
2021-06,84
2021-07,84
2021-08,74
2021-09,79
2021-10,86
2021-11,72
2021-12,66
2022-01,68
