Week,Two World II: (United States)
1/10/2021,80
1/17/2021,25
1/24/2021,45
1/31/2021,100
2/7/2021,50
2/14/2021,31
2/21/2021,35
2/28/2021,71
3/7/2021,82
3/14/2021,57
3/21/2021,86
3/28/2021,42
4/4/2021,78
4/11/2021,87
4/18/2021,83
4/25/2021,76
5/2/2021,91
5/9/2021,100
5/16/2021,37
5/23/2021,47
5/30/2021,32
6/6/2021,21
6/13/2021,31
6/20/2021,37
6/27/2021,26
7/4/2021,27
7/11/2021,10
7/18/2021,16
7/25/2021,21
8/1/2021,26
8/8/2021,11
8/15/2021,10
8/22/2021,16
8/29/2021,11
9/5/2021,6
9/12/2021,22
9/19/2021,11
9/26/2021,16
10/3/2021,8
10/10/2021,23
10/17/2021,27
10/24/2021,34
10/31/2021,27
11/7/2021,19
11/14/2021,26
11/21/2021,12
11/28/2021,29
12/5/2021,26
12/12/2021,23
12/19/2021,4
12/26/2021,8
1/2/2022,5
