Week,VTOL VR: (United States)
1/10/2021,16
1/17/2021,16
1/24/2021,0
1/31/2021,48
2/7/2021,32
2/14/2021,33
2/21/2021,0
2/28/2021,0
3/7/2021,16
3/14/2021,46
3/21/2021,16
3/28/2021,0
4/4/2021,17
4/11/2021,16
4/18/2021,33
4/25/2021,0
5/2/2021,16
5/9/2021,17
5/16/2021,0
5/23/2021,17
5/30/2021,0
6/6/2021,17
6/13/2021,17
6/20/2021,50
6/27/2021,68
7/4/2021,34
7/11/2021,17
7/18/2021,17
7/25/2021,0
8/1/2021,0
8/8/2021,17
8/15/2021,33
8/22/2021,17
8/29/2021,0
9/5/2021,18
9/12/2021,17
9/19/2021,35
9/26/2021,0
10/3/2021,13
10/10/2021,12
10/17/2021,12
10/24/2021,37
10/31/2021,12
11/7/2021,0
11/14/2021,36
11/21/2021,0
11/28/2021,12
12/5/2021,36
12/12/2021,25
12/19/2021,52
12/26/2021,99
1/2/2022,100
