Region,Grand Theft Auto V: (1/1/04 - 1/15/22)
West Virginia,100
Kentucky,87
Mississippi,86
Oklahoma,82
Arkansas,81
Kansas,79
Nevada,78
Indiana,78
Iowa,77
Louisiana,76
New Mexico,75
North Dakota,75
South Dakota,75
Alabama,74
Michigan,71
Tennessee,71
Wyoming,71
South Carolina,70
Ohio,70
Nebraska,69
Missouri,68
Texas,67
Arizona,66
Delaware,66
Montana,66
Idaho,66
Wisconsin,66
Alaska,65
Pennsylvania,65
North Carolina,65
Maine,64
Georgia,64
Rhode Island,61
Illinois,60
Florida,60
California,59
New Hampshire,59
Vermont,58
Minnesota,58
Colorado,58
Oregon,58
Washington,57
New Jersey,55
Maryland,55
Hawaii,54
Connecticut,53
Utah,52
New York,51
Virginia,49
Massachusetts,48
District of Columbia,32
